Entity,variable,value
Lithuania,Label,GPE
Finland,Label,GPE
Karelo,Label,PERSON
Romania,Label,GPE
Moldavian,Label,NORP
Soviet Union,Label,GPE
between 1945 and 1949,Label,DATE
Yugoslavia,Label,GPE
Albania,Label,GPE
Bulgaria,Label,GPE
Poland,Label,GPE
Romania,Label,GPE
Czechoslovakia,Label,GPE
Hungary,Label,GPE
East Germany,Label,GPE
People's Republics.[188] While,Label,ORG
Soviet,Label,NORP
the next half century,Label,DATE
Soviet,Label,NORP
Europe,Label,LOC
communist,Label,NORP
Mongolia,Label,GPE
China,Label,GPE
North Korea,Label,GPE
Cuba,Label,GPE
Soviet,Label,NORP
Western,Label,NORP
Churchill,Label,PERSON
USSR,Label,GPE
World War II,Label,EVENT
two,Label,CARDINAL
the North Atlantic Treaty Organization,Label,ORG
NATO,Label,ORG
1949[191,Label,CARDINAL
the Warsaw Pact,Label,LAW
"1955,[192",Label,CARDINAL
Two,Label,CARDINAL
the 1950s,Label,DATE
communist,Label,NORP
first,Label,ORDINAL
the Korean War,Label,EVENT
People's Republic of China,Label,ORG
North Korea,Label,GPE
United States,Label,GPE
South Korea,Label,GPE
The Korean Peninsula,Label,LOC
Japanese,Label,NORP
between 1910 and 1945,Label,DATE
Soviet,Label,NORP
American,Label,NORP
the 38th,Label,DATE
South,Label,LOC
North Korea's,Label,GPE
South Korea,Label,GPE
25-Jun-50,Label,DATE
United Nations,Label,ORG
Douglas MacArthur,Label,PERSON
the United States,Label,GPE
Canada,Label,GPE
Australia,Label,GPE
Great Britain,Label,GPE
Chinese,Label,NORP
U.N.,Label,ORG
Armistice,Label,GPE
Jul-53,Label,DATE
two,Label,CARDINAL
Koreas,Label,GPE
the century.[196] The,Label,PRODUCT
second,Label,ORDINAL
the Vietnam War,Label,EVENT
third,Label,ORDINAL
the 20th century,Label,DATE
World War I and World War II,Label,EVENT
French,Label,NORP
21-Jul-54,Label,DATE
Vietnam,Label,GPE
two,Label,CARDINAL
Korea,Label,GPE
the 17th,Label,DATE
North and South,Label,LOC
The United States,Label,GPE
South Vietnam[197,Label,GPE
the Gulf of Tonkin Resolution,Label,FAC
North Vietnamese,Label,NORP
American,Label,NORP
U.S.,Label,GPE
Truman Doctrine,Label,PERSON
Domino Theory,Label,PERSON
Americans,Label,NORP
the Tet Offensive,Label,FAC
My Lai,Label,PERSON
American,Label,NORP
U.S.,Label,GPE
Richard Nixon,Label,PERSON
Nixon,Label,PERSON
American,Label,NORP
South Vietnamese,Label,NORP
American,Label,NORP
Nixon,Label,PERSON
Cambodia,Label,GPE
South Vietnamese,Label,NORP
U.S.,Label,GPE
North Vietnam,Label,LOC
the Paris Peace Accords,Label,EVENT
U.S.,Label,GPE
U.S.,Label,GPE
North,Label,LOC
South,Label,LOC
Saigon,Label,ORG
30-Apr-75,Label,DATE
Vietnam,Label,GPE
Communist,Label,NORP
a year later,Label,DATE
one,Label,CARDINAL
The Cuban Missile Crisis,Label,WORK_OF_ART
the Cold War,Label,EVENT
Cuba,Label,GPE
Fidel Castro's,Label,PERSON
Soviet,Label,NORP
the United States,Label,GPE
Cuba,Label,GPE
Lockheed,Label,ORG
Soviet,Label,NORP
U.S.,Label,GPE
John F. Kennedy,Label,PERSON
the Soviet Union,Label,GPE
a tense week,Label,DATE
the Soviet Union,Label,GPE
Cold War,Label,EVENT
the Soviet Union,Label,GPE
United States,Label,GPE
1957,Label,DATE
Soviet,Label,NORP
two,Label,CARDINAL
USSR,Label,GPE
first,Label,ORDINAL
Moon,Label,PERSON
first,Label,ORDINAL
U.S.,Label,GPE
Mercury,Label,ORG
Gemini,Label,GPE
Apollo,Label,ORG
Apollo,Label,ORG
11,Label,CARDINAL
Moon,Label,PERSON
20 July 1969.[214,Label,DATE
Five,Label,CARDINAL
Apollo 13,Label,LAW
U.S.,Label,GPE
Soviet,Label,NORP
the early 21st century.[216][217] In,Label,DATE
the Venera 7 and Voyager 2.[218],Label,LAW
later decades,Label,DATE
the American Space Shuttle,Label,ORG
first,Label,ORDINAL
Mir,Label,FAC
Skylab,Label,PERSON
the 1990s,Label,DATE
the International Space Station,Label,ORG
the end of the century,Label,DATE
the United States,Label,GPE
Europe,Label,LOC
Russia,Label,GPE
Japan,Label,GPE
the 1980s,Label,DATE
the Soviet Union,Label,GPE
Sino-Soviet,Label,NORP
USSR,Label,GPE
the People's Republic,Label,GPE
U.S.,Label,GPE
Mikhail Gorbachev,Label,PERSON
Berlin,Label,GPE
Soviet,Label,NORP
"Lithuania,[227",Label,NORP
Gorbachev,Label,PERSON
Communist Party,Label,ORG
Boris Yeltsin,Label,PERSON
Russia,Label,GPE
failed.[228,Label,ORG
26-Dec-91,Label,DATE
the Soviet Union,Label,GPE
Cold War.[229,Label,EVENT
first,Label,ORDINAL
"World War II,[230",Label,EVENT
at least 20,Label,CARDINAL
transistors.[231] Computers,Label,WORK_OF_ART
thousands,Label,CARDINAL
the Apple II,Label,LAW
IBM,Label,ORG
IBM Personal Computer,Label,ORG
IBM,Label,ORG
third,Label,ORDINAL
Compaq,Label,ORG
BIOS,Label,ORG
Microsoft,Label,ORG
The 1980s,Label,DATE
the Information Age,Label,PRODUCT
The U.S. Government,Label,ORG
Richard Stallman,Label,PERSON
the Free Software Foundation,Label,ORG
first,Label,ORDINAL
Pong and Space Invaders.[245] Once,Label,ORG
industry.[246,Label,ORG
two,Label,CARDINAL
the Bulletin Board,Label,ORG
DARPA,Label,ORG
TCP,Label,ORG
Al Gore,Label,PERSON
it.[250][251,Label,ORG
the File Transfer Protocol,Label,ORG
FTP,Label,ORG
Bulletin Boards,Label,PERSON
Compuserve and America Online,Label,ORG
Tim Berners-Lee,Label,PERSON
Vannevar Bush's,Label,PERSON
the World Wide,Label,EVENT
The Web,Label,WORK_OF_ART
HTML,Label,ORG
the century,Label,DATE
Y2K,Label,PERSON
World,Label,ORG
the end of the century,Label,DATE
daily,Label,DATE
Europe,Label,LOC
first,Label,ORDINAL
Indian,Label,NORP
sixth,Label,ORDINAL
the end of the century,Label,DATE
first,Label,ORDINAL
centuries,Label,DATE
China,Label,GPE
a fifth,Label,CARDINAL
West,Label,LOC
East,Label,LOC
the Cold War,Label,EVENT
Africa,Label,LOC
centuries,Label,DATE
second,Label,ORDINAL
first,Label,ORDINAL
the 19th century,Label,DATE
World War I.[257] Since,Label,EVENT
US,Label,GPE
anti-Western,Label,NORP
anti-American,Label,NORP
China,Label,GPE
India,Label,GPE
West,Label,LOC
the late century,Label,DATE
Oklahoma City,Label,GPE
168,Label,CARDINAL
Kim Jong-il,Label,PERSON
North Korea,Label,GPE
West Nile,Label,GPE
Millions,Label,CARDINAL
20th,Label,ORDINAL
New Year's Eve,Label,EVENT
1999,Label,DATE
New Year's Day 2000,Label,EVENT
the turn of the millennium,Label,DATE
the 20th century ended,Label,DATE
New Year's Eve 2000,Label,EVENT
the 21st century,Label,DATE
New Year's Day 2001,Label,EVENT
